"Year","total_workers_num_male","total_workers_num_male_we","total_median_earn_male","MOE1","total_workers_num_female","total_workers_num_female_we","total_median_earn_female","MOE2","ft_workers_num_male","ft_workers_num_male_we","ft_median_earn_male","MOE3","ft_workers_num_female","ft_workers_num_female_we","ft_median_earn_female","MOE4","F/M_earn_ratio"
"1969","55700","55273","43184","N","39060","37737","16049","N","37055","37008","51496","N","15678","15374","31153","N","0.60499999999999998"
"1968","55095","54026","42122","N","38279","35695","16425","N","37099","37068","50112","N","15336","15013","29143","N","0.58199999999999996"
"1967","54412","53222","40906","N","36971","34391","15975","N","36695","36645","48802","N","15141","14846","28199","N","0.57799999999999996"
"1966","53016","N","41364","N","35295","N","16565","N","N","N","48042","N","N","N","27651","N","0.57599999999999996"
"1965","N","N","38941","N","N","N","16711","N","N","N","46032","N","N","N","27585","N","0.59899999999999998"
"1964","51978","N","38566","N","33146","N","15658","N","N","N","45385","N","N","N","26845","N","0.59099999999999997"
"1963","51039","N","41027","N","32188","N","15077","N","N","N","44350","N","N","N","26143","N","0.58899999999999997"
"1962","50639","N","36947","N","31418","N","14752","N","N","N","43263","N","N","N","25654","N","0.59299999999999997"
"1961","49854","N","35812","N","30433","N","14208","N","N","N","42486","N","N","N","25173","N","0.59199999999999997"
"1960","50033","N","34515","N","30585","N","14028","N","N","N","41173","N","N","N","24981","N","0.60699999999999998"
