"Year","num_thous","total","under15_perc","15_25_perc","25_35_perc","35_50_perc","50_75_perc","75_100_perc","100_150_perc","150_200_perc","above200_perc","median_income","MOE1","mean_income","MOE2","race_cate"
"1980","8847","100","24.6","16.2","12.5","14.7","16.399999999999999","8.5","5.7","1","0.3","32284","1002","41899","849","BLACK 25"
"1979","8586","100","23.1","15.7","13.2","14.2","16.8","9.3000000000000007","6.4","1.1000000000000001","0.3","33794","1015","43363","878","BLACK 25"
"1978","8066","100","23.2","15.2","12.5","14.6","17.5","8.8000000000000007","6.8","1.2","0.2","34363","1195","43915","943","BLACK 25"
"1977","7977","100","22.7","17.399999999999999","12.6","15.7","16.399999999999999","8.6","5.5","0.7","0.4","32860","725","42104","616","BLACK 25"
"1976","7776","100","22.9","17.3","12.7","14.9","17.399999999999999","8.8000000000000007","5.0999999999999996","0.7","0.3","32777","669","41878","614","BLACK 25"
"1975","7489","100","23.8","16.899999999999999","12.3","15.9","17.2","8.5","4.5","0.7","0.2","32496","787","40563","592","BLACK 25"
"1974","7263","100","22.7","16.399999999999999","13.6","16.2","16.7","8.6999999999999993","4.8","0.7","0.2","33059","656","41115","601","BLACK 25"
"1973","7040","100","20.9","17.100000000000001","12.8","16.3","17.899999999999999","8.6","5","0.9","0.4","33864","868","42052","687","BLACK 25"
"1972","6809","100","22.7","16.5","13.9","15.6","16.3","9.1","4.5","0.8","0.5","32949","812","41621","730","BLACK 25"
"1971","6578","100","24.5","16","14.3","16.100000000000001","17","7.3","4.0999999999999996","0.5","0.2","31879","780","39503","668","BLACK 25"
"1970","6180","100","23.7","15.6","13.7","17.2","16.7","7.7","4.5","0.7","0.2","33031","746","40333","716","BLACK 25"
"1969","6053","100","23.5","15.5","14.7","17.3","17","7.3","4","0.5","0.1","33125","803","39434","690","BLACK 25"
"1968","5870","100","23.9","17.2","15.3","16.5","16.399999999999999","6.9","3.4","0.5","0.1","31084","742","37858","656","BLACK 25"
"1967","5728","100","26.4","17.600000000000001","14.8","17","15","5.6","2.7","0.6","0.3","29388","805","35314","648","BLACK 25"
"2020","7539","100","7.5","6.1","4.9000000000000004","8.3000000000000007","13.8","11.4","16.100000000000001","12","20","94718","3538","131861","4215","ASIAN ALONE OR IN COMBINATION"
"2019","7334","100","6.3","5","5.0999999999999996","8.5","13.7","12.3","17.600000000000001","12.8","18.600000000000001","98363","2780","133287","4398","ASIAN ALONE OR IN COMBINATION"
"2018","7416","100","8.1","6.3","5.7","8.6","13.8","12.3","18","10.199999999999999","17","89491","2506","122578","3637","ASIAN ALONE OR IN COMBINATION"
"2017","7124","100","7.8","6.3","6.2","9.1999999999999993","14.7","12.1","17","10.9","15.8","85540","1912","120283","4428","ASIAN ALONE OR IN COMBINATION"
"2017","7114","100","8.6","6.2","5.8","9.1","14.6","12.3","16.399999999999999","10.9","16.100000000000001","85491","2001","120083","4181","ASIAN ALONE OR IN COMBINATION"
"2016","6750","100","8.6","6.1","6","7.9","14","14","16.8","12.2","14.4","87180","2007","115292","3144","ASIAN ALONE OR IN COMBINATION"
"2015","6640","100","9.3000000000000007","6.3","6.2","8.6999999999999993","15","11.9","17.3","10.9","14.5","83867","2514","114865","3952","ASIAN ALONE OR IN COMBINATION"
"2014","6333","100","9.1999999999999993","6.3","7.1","9.3000000000000007","14.4","12.7","17.899999999999999","11.2","11.9","81897","3567","107412","3469","ASIAN ALONE OR IN COMBINATION"
"2013","6160","100","9.6","6.8","5.6","9.1","15.7","12.2","18.600000000000001","8.6999999999999993","13.5","80661","5844","112499","7734","ASIAN ALONE OR IN COMBINATION"
"2013","6111","100","10","6.3","7.7","9.4","16.7","12.4","17.2","9.5","11","74978","3336","101652","4147","ASIAN ALONE OR IN COMBINATION"
"2012","5872","100","9.6","6.1","7.2","9.4","16.8","12.5","17.3","9.6999999999999993","11.3","77010","3227","103577","3519","ASIAN ALONE OR IN COMBINATION"
"2011","5705","100","9.1999999999999993","8","7.4","10.3","15.5","13.2","17.8","8.9","9.8000000000000007","74965","2967","98945","3895","ASIAN ALONE OR IN COMBINATION"
"2010","5550","100","9.5","7.6","6.9","9.8000000000000007","16","12.2","17.2","10.1","10.8","75582","2867","99599","3147","ASIAN ALONE OR IN COMBINATION"
"2009","4940","100","10.199999999999999","6.5","6.6","10.7","14.7","11.9","17.399999999999999","10","12.1","78699","2855","108978","3521","ASIAN ALONE OR IN COMBINATION"
"2008","4805","100","9.6999999999999993","6.7","6.7","10.7","14.7","11.7","18.399999999999999","10.3","10.9","79020","2801","104035","2948","ASIAN ALONE OR IN COMBINATION"
"2007","4715","100","8.1999999999999993","6.1","7","8.8000000000000007","15","13.4","19.5","11.1","10.9","82442","2853","105826","2977","ASIAN ALONE OR IN COMBINATION"
"2006","4664","100","7.8","5.9","7","9.3000000000000007","15.7","13","18.100000000000001","11.7","11.5","82237","3423","112646","3878","ASIAN ALONE OR IN COMBINATION"
"2005","4500","100","9.1","6.5","6.7","8.5","15.8","13.4","18.7","9.1999999999999993","12.2","81114","1593","106291","3051","ASIAN ALONE OR IN COMBINATION"
"2004","4346","100","8.4","6.4","7.1","9.1999999999999993","16.7","13.6","18.100000000000001","9.8000000000000007","10.7","78917","2617","104581","3247","ASIAN ALONE OR IN COMBINATION"
"2003","4235","100","11.4","7.3","5.9","8.1","16","12.9","18.5","9.6999999999999993","10.1","77964","2859","97927","2771","ASIAN ALONE OR IN COMBINATION"
"2002","4079","100","8.5","6.2","7.5","10.6","16.399999999999999","12.7","19.100000000000001","8.9","10","75439","1877","100243","3135","ASIAN ALONE OR IN COMBINATION"
"2020","6987","100","7.6","6.1","4.9000000000000004","8.4","13.5","11.3","16.100000000000001","12.2","19.899999999999999","94903","3794","131065","4096","ASIAN ALONE 27"
"2019","6853","100","6.5","5","5.0999999999999996","8.5","13","12.3","17.7","12.6","19.2","99400","3106","134773","4495","ASIAN ALONE 27"
"2018","6981","100","8.1999999999999993","6.2","5.7","8.5","13.7","12.1","18.100000000000001","10.3","17.100000000000001","89882","2892","123510","3834","ASIAN ALONE 27"
"2017","6750","100","7.8","6.3","5.9","9.1","14.7","12.1","17","11.2","15.8","85946","1878","120815","4574","ASIAN ALONE 27"
"2017","6735","100","8.6999999999999993","6.3","5.5","8.9","14.6","12.4","16.3","11.1","16.100000000000001","85882","2072","120490","4266","ASIAN ALONE 27"
"2016","6392","100","8.5","6","6","7.9","13.7","14.1","16.7","12.3","14.7","87837","2067","116487","3229","ASIAN ALONE 27"
"2015","6328","100","9.1","6.2","6.3","8.6","14.9","12.1","17.3","10.9","14.7","84310","3050","115176","4003","ASIAN ALONE 27"
"2014","6040","100","9.5","6.3","7.3","9.3000000000000007","14.2","12.3","17.899999999999999","11.3","11.9","81315","3793","106778","3457","ASIAN ALONE 27"
"2013","5818","100","9.6999999999999993","7","5.4","8.8000000000000007","16.2","11.7","18.899999999999999","8.6","13.8","80562","6155","112645","8177","ASIAN ALONE 27"
"2013","5759","100","10.1","6.5","7.7","9.4","16.5","12.4","16.8","9.6999999999999993","10.9","74643","3149","101006","4222","ASIAN ALONE 27"
"2012","5560","100","9.6999999999999993","6.2","7.1","9.3000000000000007","16.600000000000001","12.5","17.5","9.8000000000000007","11.3","77523","3512","103235","3411","ASIAN ALONE 27"
"2011","5374","100","9","7.9","7.7","10.1","15.6","13.2","18","9","9.6","75120","2973","98782","3933","ASIAN ALONE 27"
"2010","5212","100","9.6999999999999993","7.5","6.8","9.4","15.7","12.1","17.399999999999999","10.199999999999999","11.1","76453","3083","100635","3319","ASIAN ALONE 27"
"2009","4687","100","10.1","6.4","6.6","10.4","14.7","12","17.3","10.199999999999999","12.2","79178","2521","109826","3671","ASIAN ALONE 27"
"2008","4573","100","9.8000000000000007","6.6","6.8","10.5","14.6","11.7","18.3","10.5","11","79105","2748","103869","2980","ASIAN ALONE 27"
"2007","4494","100","8.1999999999999993","6.2","6.9","8.6999999999999993","15","13.2","19.8","11","11","82726","2851","106398","3088","ASIAN ALONE 27"
"2006","4454","100","7.9","6","7","9.1999999999999993","15.4","13","17.899999999999999","11.7","11.9","82672","3544","113630","4022","ASIAN ALONE 27"
"2005","4273","100","9.1","6.7","6.5","8.3000000000000007","15.7","13.6","18.5","9.1999999999999993","12.3","81175","1556","106422","3088","ASIAN ALONE 27"
"2004","4123","100","8.4","6.4","7.2","9.1","16.600000000000001","13.4","18.2","9.8000000000000007","10.9","78993","2761","105111","3344","ASIAN ALONE 27"
"2003","4040","100","11.6","7.2","5.7","8","15.8","13","18.5","9.8000000000000007","10.4","78581","2539","98718","2875","ASIAN ALONE 27"
"2002","3917","100","8.4","6.3","7.4","10.8","16.100000000000001","12.7","19.100000000000001","9","10.199999999999999","75931","2186","101067","3242","ASIAN ALONE 27"
"2001","4071","100","8.6","6.5","6.3","10.4","16.3","13.3","18.100000000000001","9.8000000000000007","10.6","78607","3086","107221","4164","ASIAN AND PACIFIC ISLANDER 25"
"2000","3963","100","7","6.4","6","10.4","15.2","13.8","18.8","10.9","11.5","84043","2358","109728","3747","ASIAN AND PACIFIC ISLANDER 25"
"1999","3742","100","8.4","6.7","6.1","9.9","17","12.4","17.3","9.6","12.4","79419","4604","105020","4379","ASIAN AND PACIFIC ISLANDER 25"
"1998","3308","100","8.6999999999999993","7.3","6.7","11","17.100000000000001","12.3","19.7","9","8.1999999999999993","74230","3399","95830","4553","ASIAN AND PACIFIC ISLANDER 25"
"1997","3125","100","9.3000000000000007","7.7","6.4","10","18.100000000000001","13.9","17.5","9.1","8","72996","3338","95002","4843","ASIAN AND PACIFIC ISLANDER 25"
"1996","2998","100","10.3","7.3","6.9","10.3","17.7","12.5","18.899999999999999","9.6","6.6","71322","4205","93194","5498","ASIAN AND PACIFIC ISLANDER 25"
"1995","2777","100","9.6999999999999993","8.5","7.7","9.6","18.5","14.1","17.600000000000001","7","7.2","68718","2836","93444","6201","ASIAN AND PACIFIC ISLANDER 25"
"1994","2040","100","9.6","8.6999999999999993","7.1","10.6","17.399999999999999","13.1","18.600000000000001","7.5","7.4","70144","4372","91076","5339","ASIAN AND PACIFIC ISLANDER 25"
"1993","2233","100","11.4","8.6999999999999993","7.4","11.6","15.2","13","18.7","7.7","6.2","67832","5488","88877","5887","ASIAN AND PACIFIC ISLANDER 25"
"1992","2262","100","9.5","8.3000000000000007","8.6","10.3","18.399999999999999","13.8","17.3","7.5","6.4","68553","3255","84963","3842","ASIAN AND PACIFIC ISLANDER 25"
"1991","2094","100","9.9","7.2","7.8","12.9","17.3","12.9","18.2","7.6","6.2","67744","3596","86013","4170","ASIAN AND PACIFIC ISLANDER 25"
"1990","1958","100","8.3000000000000007","7.2","7.9","9.8000000000000007","17.100000000000001","16.5","18.2","8","7","74063","3609","89400","4164","ASIAN AND PACIFIC ISLANDER 25"
"1989","1988","100","7.2","8","7","10.6","19.2","14.4","18.100000000000001","8.8000000000000007","6.9","72970","3245","90712","4342","ASIAN AND PACIFIC ISLANDER 25"
"1988","1913","100","7.8","8.9","8.9","10.6","17.399999999999999","15.2","17","7.7","6.4","68070","4602","85102","4182","ASIAN AND PACIFIC ISLANDER 25"
"1987","N","100","10","8.9","8.1999999999999993","10.3","15.9","14.8","18.2","7.9","5.8","70439","4308","N","N","ASIAN AND PACIFIC ISLANDER 25"
"2020","18349","100","10.6","9.8000000000000007","10.3","14.7","18.399999999999999","12.3","13.3","5.5","5.0999999999999996","55321","1183","75193","1406","HISPANIC (ANY RACE) 28"
"2019","17667","100","10.5","8.8000000000000007","10.6","14","19.5","12","13.3","6","5.4","56814","1187","75995","1641","HISPANIC (ANY RACE) 28"
"2018","17758","100","11.2","10.9","10.4","14.9","18.600000000000001","12.9","11.8","4.9000000000000004","4.5","53036","758","73132","1669","HISPANIC (ANY RACE) 28"
"2017","17336","100","11.7","10.3","11.3","14.3","18.899999999999999","12","12.3","4.5999999999999996","4.5","52974","801","71449","1596","HISPANIC (ANY RACE) 28"
"2017","17318","100","11.5","10.3","11.4","14.2","18.3","12.3","12.5","5.0999999999999996","4.5","53311","761","72142","1501","HISPANIC (ANY RACE) 28"
"2016","16915","100","11.5","11","11.2","15.3","17.3","12.8","12.1","4.9000000000000004","4","51425","1199","72071","1434","HISPANIC (ANY RACE) 28"
"2015","16667","100","12.5","11.5","12.6","14.5","17.600000000000001","11.8","10.9","4.5","4","49328","1105","69501","1504","HISPANIC (ANY RACE) 28"
"2014","16239","100","13.4","12.7","11.7","15.3","18.100000000000001","11.4","10.9","3.7","2.8","46505","929","62969","1181","HISPANIC (ANY RACE) 28"
"2013","16088","100","13.7","13.3","13.3","14.9","17","9.9","10.199999999999999","4","3.7","44171","2175","64127","3116","HISPANIC (ANY RACE) 28"
"2013","15811","100","14.2","12.6","12.3","14.9","18.2","10.8","10.9","3.6","2.4","45592","1011","60818","1349","HISPANIC (ANY RACE) 28"
"2012","15589","100","15","12.8","12.7","15.3","18","10.4","9.8000000000000007","3.5","2.6","44055","992","60339","1297","HISPANIC (ANY RACE) 28"
"2011","14939","100","14.5","12.1","13.4","15.8","18.399999999999999","9.5","9.9","3.8","2.5","44549","1038","60383","1127","HISPANIC (ANY RACE) 28"
"2010","14435","100","14.5","12.7","12.3","15.7","17.8","10.8","9.9","3.9","2.4","44772","1139","61147","1292","HISPANIC (ANY RACE) 28"
"2009","13298","100","13.2","12.7","11.8","16.2","18","10.7","10.6","3.8","2.9","46004","999","63165","1140","HISPANIC (ANY RACE) 28"
"2008","13425","100","13.5","12.5","11.5","17","18","10.4","10.7","3.8","2.6","45692","964","62154","1059","HISPANIC (ANY RACE) 28"
"2007","13339","100","11.7","11.5","12.3","15.7","18.8","12.6","11","3.8","2.7","48406","1071","63610","1101","HISPANIC (ANY RACE) 28"
"2006","12973","100","12","11.4","12.3","15.4","19.5","11.6","11","4","2.8","48623","1069","65088","1228","HISPANIC (ANY RACE) 28"
"2005","12519","100","12.3","11.6","12.6","15.9","19.5","11.7","10.199999999999999","3.6","2.7","47789","780","62632","1036","HISPANIC (ANY RACE) 28"
"2004","12178","100","12.3","12","13.2","15.7","19.2","10.9","10.4","3.6","2.7","47078","1085","63021","1268","HISPANIC (ANY RACE) 28"
"2003","11693","100","12.1","11.9","12.3","17.100000000000001","18.7","10.9","10.9","3.2","2.9","46552","1065","62736","1142","HISPANIC (ANY RACE) 28"
"2002","11339","100","11.8","11.9","11.8","16.2","18.899999999999999","12.1","10.8","3.7","2.7","47763","1144","64765","1424","HISPANIC (ANY RACE) 28"
"2001","10499","100","11.3","12.4","11","16.5","19.3","11.5","11.6","3.6","2.8","49193","1027","65047","1353","HISPANIC (ANY RACE) 28"
"2000","10034","100","10.7","12.2","11.5","15.9","19.3","12.9","11.3","3.5","2.7","49995","1185","66289","1570","HISPANIC (ANY RACE) 28"
"1999","9579","100","11.3","13.2","11.3","16.899999999999999","18.899999999999999","11.3","11.1","3.3","2.6","47916","1146","62946","1838","HISPANIC (ANY RACE) 28"
"1998","9060","100","14.1","13.6","11","16.7","18.100000000000001","11.3","9.5","3.3","2.2999999999999998","45091","1430","60928","2131","HISPANIC (ANY RACE) 28"
"1997","8590","100","15.5","13.4","12.5","15.7","18.600000000000001","10.4","8.8000000000000007","2.8","2.2000000000000002","42956","1261","57887","1921","HISPANIC (ANY RACE) 28"
"1996","8225","100","15.6","14.9","13.2","15.8","17.5","10","8.6999999999999993","2.4","1.9","41047","1309","56043","2134","HISPANIC (ANY RACE) 28"
"1995","7939","100","17.2","14.6","13.9","15.6","17.2","9.8000000000000007","7.9","2.4","1.5","38678","1386","52791","1948","HISPANIC (ANY RACE) 28"
"1994","7735","100","17.3","14.4","12.4","15.4","18.100000000000001","9.4","8.8000000000000007","2.4","1.8","40582","1240","54723","2246","HISPANIC (ANY RACE) 28"
"1993","7362","100","16","14.7","12.8","16.7","18.399999999999999","9.3000000000000007","8.5","2.1","1.5","40483","1339","53582","1854","HISPANIC (ANY RACE) 28"
"1992","7153","100","16.399999999999999","13.9","13","16.399999999999999","18.399999999999999","10.199999999999999","8","2.4","1.2","40980","1393","52269","1351","HISPANIC (ANY RACE) 28"
"1991","6379","100","15.9","13.7","12.6","15.9","19","10.6","8.5","2.2000000000000002","1.6","42174","1443","53662","1413","HISPANIC (ANY RACE) 28"
"1990","6220","100","15.1","14.5","12.4","15.2","19.7","10.8","8.5","2.2000000000000002","1.6","43013","1451","53880","1461","HISPANIC (ANY RACE) 28"
"1989","5933","100","15.4","12.2","11.7","16","18.899999999999999","11.5","9.9","2.7","1.6","44307","1413","56578","1599","HISPANIC (ANY RACE) 28"
"1988","5910","100","16.3","12.4","13.3","15.1","18.8","11.8","8.1999999999999993","2.2999999999999998","1.7","42949","1791","54834","1912","HISPANIC (ANY RACE) 28"
"1987","5642","100","16.5","13.8","12.7","15.6","17.8","11.3","8.4","2.4","1.6","42264","1510","54177","1650","HISPANIC (ANY RACE) 28"
"1986","5418","100","16.100000000000001","14.1","13","15.4","18.3","11","8.9","2.2999999999999998","0.9","41493","1778","52394","1417","HISPANIC (ANY RACE) 28"
"1985","5213","100","16.7","15.1","12.6","15.6","19","10.199999999999999","8.3000000000000007","1.7","0.8","40179","1544","50205","1343","HISPANIC (ANY RACE) 28"
"1984","4883","100","17.5","14.3","12.2","15.2","19.899999999999999","10.6","7.6","1.8","0.9","40433","1668","50277","1613","HISPANIC (ANY RACE) 28"
"1983","4326","100","18.2","14.8","12.8","16","19.3","9.6","7.1","1.6","0.6","39424","1643","48007","1517","HISPANIC (ANY RACE) 28"
"1982","4085","100","17.100000000000001","15.2","13.1","16.399999999999999","19","9.9","7.3","1.1000000000000001","0.9","39226","1705","48411","1616","HISPANIC (ANY RACE) 28"
"1981","3980","100","15.1","13.7","13.1","17.100000000000001","20.5","10.4","7.9","1.3","0.7","41929","1889","50351","1582","HISPANIC (ANY RACE) 28"
"1980","3906","100","15.7","13.9","13.3","17","19.3","11.7","6.8","1.5","0.8","40942","1825","50009","1638","HISPANIC (ANY RACE) 28"
"1979","3684","100","14.1","12.7","12.8","17","21.5","11.2","8","1.7","1","43496","2063","52628","1739","HISPANIC (ANY RACE) 28"
"1978","3291","100","13.8","13.2","12.6","18.7","20.7","11.9","7","1.4","0.6","43097","1718","50907","1694","HISPANIC (ANY RACE) 28"
"1977","3304","100","13.5","14.9","12.9","19.2","20.7","10.7","6.3","1.4","0.4","41542","1200","49025","1245","HISPANIC (ANY RACE) 28"
"1976","3081","100","16.100000000000001","14.8","13.6","17.899999999999999","20.100000000000001","10.6","5.2","1.3","0.4","39692","1392","46905","1256","HISPANIC (ANY RACE) 28"
"1975","2948","100","16","14.5","14.6","18.100000000000001","21.6","9","5","0.9","0.5","38888","1414","46165","1349","HISPANIC (ANY RACE) 28"
"1974","2897","100","12.9","15.1","13.7","18","22.1","10.7","5.9","1","0.6","42279","1523","48977","1312","HISPANIC (ANY RACE) 28"
"1973","2722","100","12","13.6","14.3","18.600000000000001","22.3","11.8","6","1","0.4","42527","1589","49410","1323","HISPANIC (ANY RACE) 28"
"1972","2655","100","11.6","16","13.3","20.3","22.8","9.3000000000000007","5.0999999999999996","0.9","0.6","42598","1369","48962","1369","HISPANIC (ANY RACE) 28"
